,2018,2024,total,2018_relative,2024_relative,relative_diff
dağılım,0,7,7,0.0,0.001869158878504673,0.001869158878504673
koordinat,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
bağlaç,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
geçir,0,7,7,0.0,0.001869158878504673,0.001869158878504673
kavramsal,0,7,7,0.0,0.001869158878504673,0.001869158878504673
özel,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
ortak,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
aritmetik,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
dön,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
grup,4,3,7,0.002296211251435132,0.0008010680907877169,-0.001495143160647415
alt,6,1,7,0.003444316877152698,0.000267022696929239,-0.0031772941802234588
matematik,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
gözlem,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
analiz,1,5,6,0.000574052812858783,0.0013351134846461949,0.0007610606717874119
ayır,4,2,6,0.002296211251435132,0.000534045393858478,-0.0017621658575766542
buldur,6,0,6,0.003444316877152698,0.0,-0.003444316877152698
sayıs,5,1,6,0.0028702640642939152,0.000267022696929239,-0.002603241367364676
yeni,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
içeri,2,4,6,0.001148105625717566,0.001068090787716956,-8.001483800061009e-05
argüman,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
yüksek,3,3,6,0.001722158438576349,0.0008010680907877169,-0.000921090347788632
türet,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
silindir,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
pergel,5,1,6,0.0028702640642939152,0.000267022696929239,-0.002603241367364676
asal,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
orantı,6,0,6,0.003444316877152698,0.0,-0.003444316877152698
listele,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
aralık,5,1,6,0.0028702640642939152,0.000267022696929239,-0.002603241367364676
fonk,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
sinüs,4,2,6,0.002296211251435132,0.000534045393858478,-0.0017621658575766542
kare,6,0,6,0.003444316877152698,0.0,-0.003444316877152698
çevre,5,1,6,0.0028702640642939152,0.000267022696929239,-0.002603241367364676
kullanışlı,0,6,6,0.0,0.0016021361815754338,0.0016021361815754338
işaret,2,4,6,0.001148105625717566,0.001068090787716956,-8.001483800061009e-05
eşitsiz,2,4,6,0.001148105625717566,0.001068090787716956,-8.001483800061009e-05
merkez,6,0,6,0.003444316877152698,0.0,-0.003444316877152698
nin,6,0,6,0.003444316877152698,0.0,-0.003444316877152698
sabit,4,2,6,0.002296211251435132,0.000534045393858478,-0.0017621658575766542
gelişim,4,1,5,0.002296211251435132,0.000267022696929239,-0.002029188554505893
cetvel,5,0,5,0.0028702640642939152,0.0,-0.0028702640642939152
ölçü,5,0,5,0.0028702640642939152,0.0,-0.0028702640642939152
ayrık,5,0,5,0.0028702640642939152,0.0,-0.0028702640642939152
koş,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
nesne,3,2,5,0.001722158438576349,0.000534045393858478,-0.001188113044717871
karşılaştır,1,4,5,0.000574052812858783,0.001068090787716956,0.0004940379748581729
çöz,2,3,5,0.001148105625717566,0.0008010680907877169,-0.00034703753492984913
büyük,3,2,5,0.001722158438576349,0.000534045393858478,-0.001188113044717871
analitik,2,3,5,0.001148105625717566,0.0008010680907877169,-0.00034703753492984913
özdeş,2,3,5,0.001148105625717566,0.0008010680907877169,-0.00034703753492984913
kenarortay,4,1,5,0.002296211251435132,0.000267022696929239,-0.002029188554505893
dışbükey,1,4,5,0.000574052812858783,0.001068090787716956,0.0004940379748581729
proje,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
özdeşlik,2,3,5,0.001148105625717566,0.0008010680907877169,-0.00034703753492984913
gel,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
grafiğ,5,0,5,0.0028702640642939152,0.0,-0.0028702640642939152
belirt,4,1,5,0.002296211251435132,0.000267022696929239,-0.002029188554505893
mantık,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
yol,1,4,5,0.000574052812858783,0.001068090787716956,0.0004940379748581729
tanıt,4,1,5,0.002296211251435132,0.000267022696929239,-0.002029188554505893
bekle,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
sınıf,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
değiş,2,3,5,0.001148105625717566,0.0008010680907877169,-0.00034703753492984913
kullanıl,3,2,5,0.001722158438576349,0.000534045393858478,-0.001188113044717871
plan,0,5,5,0.0,0.0013351134846461949,0.0013351134846461949
mutlak,3,2,5,0.001722158438576349,0.000534045393858478,-0.001188113044717871
şema,1,4,5,0.000574052812858783,0.001068090787716956,0.0004940379748581729
bağıntı,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
geometri,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
üstel,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
var,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
ardışık,0,4,4,0.0,0.001068090787716956,0.001068090787716956
stra,0,4,4,0.0,0.001068090787716956,0.001068090787716956
uzaklık,1,3,4,0.000574052812858783,0.0008010680907877169,0.0002270152779289339
bahsed,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
yardımcı,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
tanımla,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
aşağı,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
kâğıt,1,3,4,0.000574052812858783,0.0008010680907877169,0.0002270152779289339
belli,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
formül,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
yaptır,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
yazılım,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
uygula,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
taban,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
öğren,0,4,4,0.0,0.001068090787716956,0.001068090787716956
belirsiz,1,3,4,0.000574052812858783,0.0008010680907877169,0.0002270152779289339
hiyerarşik,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
yay,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
tespit,0,4,4,0.0,0.001068090787716956,0.001068090787716956
𝐶𝐶(𝑛𝑛,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
ortalama,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
olasılık,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
sıra,1,3,4,0.000574052812858783,0.0008010680907877169,0.0002270152779289339
tasarla,0,4,4,0.0,0.001068090787716956,0.001068090787716956
çizim,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
genelleme,0,4,4,0.0,0.001068090787716956,0.001068090787716956
tepe,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
meydan,0,4,4,0.0,0.001068090787716956,0.001068090787716956
sürec,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
koni,0,4,4,0.0,0.001068090787716956,0.001068090787716956
yorum,0,4,4,0.0,0.001068090787716956,0.001068090787716956
katkı,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
çeşit,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
küp,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
gerçekleş,0,4,4,0.0,0.001068090787716956,0.001068090787716956
geliştir,1,3,4,0.000574052812858783,0.0008010680907877169,0.0002270152779289339
tarihsel,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
ört,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
mab3,0,4,4,0.0,0.001068090787716956,0.001068090787716956
kosinüs,2,2,4,0.001148105625717566,0.000534045393858478,-0.0006140602318590881
kök,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
açıortay,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
kes,3,1,4,0.001722158438576349,0.000267022696929239,-0.00145513574164711
hesaplat,4,0,4,0.002296211251435132,0.0,-0.002296211251435132
piramit,1,3,4,0.000574052812858783,0.0008010680907877169,0.0002270152779289339
form,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
öklid,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
bilim,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
tanx,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
çeyrek,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
artan,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
anlam,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
seçe,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
ulaştır,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
bayes,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
dönüştür,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
bölüm,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
eser,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
eşkenar,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
tanı,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
test,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
ötele,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
cosx,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
fonksiyonel,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
köklü,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
şart,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
niceleyici,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
matema,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
şifrele,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
fonksi,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
bilinmeyen li,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
mevcut,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
hâl,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
odaklan,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
yarı,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
türk,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
i̇ncele,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
karmaşık,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
𝑓𝑓(𝐴𝐴,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
tür,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
tamkare,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
fikir,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
geç,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
dikkat,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
cotx,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
çevrel,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
birim,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
ağırlık,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
çık,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
pisagor,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
daire,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
biçiim,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
muhakeme,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
liste,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
model,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
çalışma,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
yan,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
uzun,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
sağ,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
yüzey,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
ana,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
tamamla,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
sinx,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
kartezyen,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
p(x,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
ista,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
çizge,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
lim,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
kullanı,0,3,3,0.0,0.0008010680907877169,0.0008010680907877169
kullanım,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
böl,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
eşlenik,3,0,3,0.001722158438576349,0.0,-0.001722158438576349
belir,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
küçük,2,1,3,0.001148105625717566,0.000267022696929239,-0.0008810829287883271
vurgula,1,2,3,0.000574052812858783,0.000534045393858478,-4.0007419000305045e-05
hipotenüs,2,0,2,0.001148105625717566,0.0,-0.001148105625717566
tutarlı,0,2,2,0.0,0.000534045393858478,0.000534045393858478
mimari,1,1,2,0.000574052812858783,0.000267022696929239,-0.00030703011592954403
çözümlen,0,2,2,0.0,0.000534045393858478,0.000534045393858478
hedefle,0,2,2,0.0,0.000534045393858478,0.000534045393858478
düzlem,2,0,2,0.001148105625717566,0.0,-0.001148105625717566
altın,1,1,2,0.000574052812858783,0.000267022696929239,-0.00030703011592954403
kat,0,2,2,0.0,0.000534045393858478,0.000534045393858478
